
> DSA-CP-ALgo@1.0.0 serve
> python3 -m http.server 8000 || python -m http.server 8000

127.0.0.1 - - [07/Mar/2026 17:48:13] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:03] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:03] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/controller/VisualizerController.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/components/Navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/SelectionSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/BubbleSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/QuickSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/InsertionSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/MergeSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/visualizer/SortVisualizer.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/services/AIService.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:04] "GET /src/algorithms/SortAlgorithm.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/components/Navbar.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/controller/VisualizerController.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/BubbleSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/MergeSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/QuickSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/SelectionSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/visualizer/SortVisualizer.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/InsertionSort.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/services/AIService.js HTTP/1.1" 200 -
127.0.0.1 - - [07/Mar/2026 17:49:27] "GET /src/algorithms/SortAlgorithm.js HTTP/1.1" 200 -
